timestamp,target_tps,container,container_id,cpu_percent,memory_usage,memory_percent,net_io,block_io,pids
2026-06-02T09:15:49.045Z,50,peer0.org1.example.com,bbcfd773e0b5,70.45%,158.5MiB / 7.738GiB,2.00%,386MB / 318MB,0B / 155MB,13
2026-06-02T09:15:49.045Z,50,peer0.org2.example.com,4450af41a44f,50.67%,139.7MiB / 7.738GiB,1.76%,187MB / 126MB,0B / 154MB,12
2026-06-02T09:15:49.045Z,50,orderer.example.com,31e02349a699,46.17%,94.41MiB / 7.738GiB,1.19%,108MB / 216MB,0B / 227MB,12
2026-06-02T09:15:52.112Z,50,peer0.org1.example.com,bbcfd773e0b5,16.95%,199.2MiB / 7.738GiB,2.51%,390MB / 321MB,0B / 156MB,13
2026-06-02T09:15:52.112Z,50,peer0.org2.example.com,4450af41a44f,10.55%,181.5MiB / 7.738GiB,2.29%,189MB / 127MB,0B / 156MB,12
2026-06-02T09:15:52.112Z,50,orderer.example.com,31e02349a699,10.86%,109.4MiB / 7.738GiB,1.38%,109MB / 218MB,0B / 229MB,12
