target_tps,submitted,success,failed,failure_rate_pct,throughput_tps,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,latency_std_ms,spike_share_pct,instability_cv
50,206,206,0,0.0,50.67650676506764,63.00970873786408,61.0,97.0,105.94999999999999,108.0,15.10609415096075,0.0,0.1773024560712018
100,400,400,0,0.0,98.7166831194472,74.5475,63.0,131.29999999999973,236.0,261.0,35.68210677286306,5.0,0.48194874935920146
150,605,605,0,0.0,149.3089832181639,106.60330578512396,94.0,204.79999999999995,231.96000000000004,281.0,50.881303997733795,5.12396694214876,0.33600250320979663
200,805,805,0,0.0,199.20811680277157,54.09813664596273,48.0,100.0,114.96000000000004,131.0,20.63005246844741,4.968944099378882,0.3541071524361589
250,1005,1005,0,0.0,130.97875667926496,3169.866666666667,3988.0,4981.8,5058.96,5159.0,1780.312828493029,0.0,0.3970331865908596
