timestamp,target_tps,container,container_id,cpu_percent,memory_usage,memory_percent,net_io,block_io,pids
2026-06-02T09:16:47.845Z,50,peer0.org1.example.com,bbcfd773e0b5,23.54%,217.7MiB / 7.738GiB,2.75%,394MB / 324MB,0B / 157MB,13
2026-06-02T09:16:47.845Z,50,peer0.org2.example.com,4450af41a44f,45.93%,197.4MiB / 7.738GiB,2.49%,190MB / 128MB,0B / 157MB,12
2026-06-02T09:16:47.845Z,50,orderer.example.com,31e02349a699,7.33%,115.2MiB / 7.738GiB,1.45%,110MB / 220MB,0B / 230MB,12
2026-06-02T09:16:50.900Z,50,peer0.org1.example.com,bbcfd773e0b5,24.79%,218.3MiB / 7.738GiB,2.76%,397MB / 326MB,0B / 159MB,13
2026-06-02T09:16:50.900Z,50,peer0.org2.example.com,4450af41a44f,19.23%,198.1MiB / 7.738GiB,2.50%,192MB / 129MB,0B / 159MB,12
2026-06-02T09:16:50.900Z,50,orderer.example.com,31e02349a699,18.55%,125.3MiB / 7.738GiB,1.58%,112MB / 223MB,0B / 234MB,12
2026-06-02T09:16:53.995Z,50,peer0.org1.example.com,bbcfd773e0b5,32.37%,218.6MiB / 7.738GiB,2.76%,401MB / 330MB,0B / 160MB,13
2026-06-02T09:16:53.995Z,50,peer0.org2.example.com,4450af41a44f,10.62%,202.3MiB / 7.738GiB,2.55%,194MB / 131MB,0B / 161MB,12
2026-06-02T09:16:53.995Z,50,orderer.example.com,31e02349a699,10.70%,145.9MiB / 7.738GiB,1.84%,113MB / 226MB,0B / 236MB,12
