timestamp,target_tps,container,container_id,cpu_percent,memory_usage,memory_percent,net_io,block_io,pids
2026-06-02T09:17:06.548Z,150,peer0.org1.example.com,bbcfd773e0b5,70.89%,229.5MiB / 7.738GiB,2.90%,431MB / 354MB,0B / 174MB,13
2026-06-02T09:17:06.548Z,150,peer0.org2.example.com,4450af41a44f,28.59%,213.5MiB / 7.738GiB,2.69%,210MB / 141MB,0B / 176MB,12
2026-06-02T09:17:06.548Z,150,orderer.example.com,31e02349a699,25.61%,162.4MiB / 7.738GiB,2.05%,123MB / 244MB,0B / 256MB,12
2026-06-02T09:17:08.614Z,150,peer0.org1.example.com,bbcfd773e0b5,50.32%,232.8MiB / 7.738GiB,2.94%,445MB / 366MB,0B / 180MB,13
2026-06-02T09:17:08.614Z,150,peer0.org2.example.com,4450af41a44f,34.46%,214.1MiB / 7.738GiB,2.70%,215MB / 144MB,0B / 180MB,12
2026-06-02T09:17:08.614Z,150,orderer.example.com,31e02349a699,23.98%,163.9MiB / 7.738GiB,2.07%,125MB / 250MB,0B / 261MB,12
2026-06-02T09:17:11.671Z,150,peer0.org1.example.com,bbcfd773e0b5,50.02%,233.8MiB / 7.738GiB,2.95%,458MB / 377MB,0B / 185MB,13
2026-06-02T09:17:11.671Z,150,peer0.org2.example.com,4450af41a44f,35.06%,214.9MiB / 7.738GiB,2.71%,221MB / 149MB,0B / 185MB,12
2026-06-02T09:17:11.671Z,150,orderer.example.com,31e02349a699,26.88%,163.4MiB / 7.738GiB,2.06%,128MB / 255MB,0B / 267MB,12
