second,completed_txs,mean_latency_ms,max_latency_ms,p95_latency_ms,p99_latency_ms,target_tps,run_dir
0,55,1923.0363636363636,2472,2415.2999999999997,2472.0,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/smoke-escalated/tps_50
1,55,885.4363636363636,1448,1343.6,1413.44,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/smoke-escalated/tps_50
2,45,146.82222222222222,356,354.0,356.0,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/smoke-escalated/tps_50
3,51,59.13725490196079,80,79.5,80.0,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/smoke-escalated/tps_50
4,50,78.32,206,197.55,203.54999999999998,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/smoke-escalated/tps_50
5,4,187.25,192,191.85,191.97,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/smoke-escalated/tps_50
